"estimate","lower","upper","p_value","width","reject","cover","width_met"
1.30314156322856,-0.815639963527425,3.42192308998454,0.224869823283588,4.23756305351196,FALSE,TRUE,FALSE
1.04809857382743,-1.02889479322687,3.12509194088173,0.318691446390451,4.15398673410861,FALSE,TRUE,FALSE
-1.87854430506097,-3.83365815423921,0.0765695441172576,0.0594608894834057,3.91022769835646,FALSE,TRUE,TRUE
2.10375374853614,-0.276594939888591,4.48410243696088,0.0825044524451992,4.76069737684947,FALSE,TRUE,FALSE
0.753628039392351,-1.39592540597291,2.90318148475761,0.487802671264725,4.29910689073052,FALSE,TRUE,FALSE
1.8705775482751,-0.0687127829414012,3.80986787949161,0.0584985693502876,3.87858066243301,FALSE,TRUE,TRUE
0.844953368438158,-1.03891585877501,2.72882259565133,0.375177653916998,3.76773845442634,FALSE,TRUE,TRUE
-0.671116089839743,-2.90286508796205,1.56063290828257,0.551638915451578,4.46349799624462,FALSE,TRUE,FALSE
0.501135165467473,-1.53458968755545,2.53686001849039,0.625908840772176,4.07144970604584,FALSE,TRUE,FALSE
1.41795379146393,-0.587299499048022,3.42320708197589,0.163467009283301,4.01050658102391,FALSE,TRUE,FALSE
1.01873301398123,-1.05027752057381,3.08774354853627,0.330511620542864,4.13802106911008,FALSE,TRUE,FALSE
0.184538550055019,-2.21915626036023,2.58823336047027,0.879086702506565,4.80738962083049,FALSE,TRUE,FALSE
-0.0856999183844221,-1.99628821988944,1.82488838312059,0.929172901832122,3.82117660301003,FALSE,TRUE,TRUE
-0.074317188708807,-1.95899233184947,1.81035795443186,0.937716796812651,3.76935028628132,FALSE,TRUE,TRUE
-0.745833656969666,-2.90616581465878,1.41449850071945,0.494458496144822,4.32066431537824,FALSE,TRUE,FALSE
-2.35592202238031,-4.3754840481325,-0.336359996628116,0.0227529967508231,4.03912405150438,TRUE,FALSE,FALSE
-0.747045178743033,-2.55353162591817,1.0594412684321,0.413403995729526,3.61297289435027,FALSE,TRUE,TRUE
0.66933446417112,-1.6203407584213,2.95900968676354,0.562766489067467,4.57935044518485,FALSE,TRUE,FALSE
3.39180145745827,1.10724548948942,5.67635742542713,0.00406526979415569,4.56911193593771,TRUE,FALSE,FALSE
0.0113960704220284,-2.03318859245912,2.05598073330317,0.991187308680336,4.08916932576229,FALSE,TRUE,FALSE
-1.66218978991867,-4.00057715037437,0.67619757053704,0.161294420373716,4.67677472091141,FALSE,TRUE,FALSE
-0.571786401376341,-2.6993902408909,1.55581743813822,0.594634560455231,4.25520767902912,FALSE,TRUE,FALSE
-0.0916512757116375,-2.20880495785841,2.02550240643513,0.931638413420479,4.23430736429354,FALSE,TRUE,FALSE
-2.2206544469861,-4.34976907309263,-0.0915398208795621,0.0411222860454858,4.25822925221307,TRUE,FALSE,FALSE
1.78440938282417,-0.304636244018106,3.87345500966644,0.0931376615522527,4.17809125368455,FALSE,TRUE,FALSE
-0.762062805209904,-2.87080946559756,1.34668385517775,0.474554544420682,4.21749332077532,FALSE,TRUE,FALSE
1.5782039838722,-0.5043249930196,3.660732960764,0.13564101637099,4.1650579537836,FALSE,TRUE,FALSE
-1.22340559943782,-3.36837054229621,0.921559343420563,0.260093906072083,4.28992988571677,FALSE,TRUE,FALSE
-0.049351306919094,-1.96834390274147,1.86964128890328,0.959355508203422,3.83798519164475,FALSE,TRUE,TRUE
-0.531940442985732,-2.37693040063517,1.31304951466371,0.56812768309764,3.68997991529889,FALSE,TRUE,TRUE
0.25090701477203,-1.62471891789668,2.12653294744074,0.790980753539276,3.75125186533742,FALSE,TRUE,TRUE
-0.770827908824311,-3.02226756016115,1.48061174251253,0.498043349802436,4.50287930267367,FALSE,TRUE,FALSE
-0.0532731687002984,-1.95210572446621,1.84555938706561,0.955663453729976,3.79766511153182,FALSE,TRUE,TRUE
0.450627110393482,-1.63565128176962,2.53690550255659,0.668793283897296,4.17255678432621,FALSE,TRUE,FALSE
1.38368298362607,-0.543867788463335,3.31123375571548,0.157243220018628,3.85510154417882,FALSE,TRUE,TRUE
-1.11173755715326,-3.17884697103197,0.955371856725445,0.288078913375387,4.13421882775741,FALSE,TRUE,FALSE
-1.48759012660475,-3.78518095284893,0.810000699639426,0.201579092252018,4.59518165248836,FALSE,TRUE,FALSE
-1.49134722616108,-3.39966207538017,0.416967623058012,0.123996518772564,3.81662969843819,FALSE,TRUE,TRUE
-0.480216108735174,-2.64209385503931,1.68166163756896,0.659980840363223,4.32375549260827,FALSE,TRUE,FALSE
2.34261401684432,0.319625907006719,4.36560212668193,0.0237384678156639,4.04597621967521,TRUE,FALSE,FALSE
0.456133027847909,-1.64342737681015,2.55569343250597,0.666984853720954,4.19912080931611,FALSE,TRUE,FALSE
0.443128987454704,-1.85810789020495,2.74436586511436,0.702883512348141,4.60247375531931,FALSE,TRUE,FALSE
-0.0671514936953301,-2.0021095132611,1.86780652587044,0.94517185403632,3.86991603913154,FALSE,TRUE,TRUE
0.584015011630393,-1.28929151618068,2.45732153944146,0.537154900366977,3.74661305562214,FALSE,TRUE,TRUE
-0.91472396516028,-3.14740261113628,1.31795468081572,0.417734647374376,4.465357291952,FALSE,TRUE,FALSE
-1.46994519261818,-3.4378473767104,0.497956991474044,0.141268922687247,3.93580436818445,FALSE,TRUE,TRUE
0.408672962311592,-1.77190869535113,2.58925461997432,0.710455365485192,4.36116331532545,FALSE,TRUE,FALSE
-1.08355550004393,-3.10836340423581,0.941252404147942,0.290474782578573,4.04961580838375,FALSE,TRUE,FALSE
-0.89394585835033,-2.92388395239207,1.13599223569141,0.383866886244043,4.05987618808347,FALSE,TRUE,FALSE
-0.516061505898881,-2.66737539958676,1.63525238778899,0.634746662422088,4.30262778737575,FALSE,TRUE,FALSE
-0.0947773165661795,-1.98617294399302,1.79661831086066,0.920902255134085,3.78279125485369,FALSE,TRUE,TRUE
0.463863668718624,-1.63232938974584,2.56005672718309,0.661185722292942,4.19238611692893,FALSE,TRUE,FALSE
